,total_passes,successful_passes,pass_completion_pct,passes_into_final_third,progressive_carries,total_pressured_receipts,successful_pressured_receipts,pressure_receipt_pct,total_pressures,final_third_pressures,counterpressures,high_ball_recoveries,avg_defensive_distance,successful_long_passes,total_pass_distance,total_forward_distance,pass_directness_ratio,explosive_carries,total_shots,total_xg,avg_shot_quality,touches_in_box,aerial_duels_won,avg_receipt_distance_from_goal,minutes_played,total_passes_per90,successful_passes_per90,passes_into_final_third_per90,progressive_carries_per90,total_pressured_receipts_per90,successful_pressured_receipts_per90,total_pressures_per90,final_third_pressures_per90,counterpressures_per90,high_ball_recoveries_per90,successful_long_passes_per90,total_pass_distance_per90,total_forward_distance_per90,explosive_carries_per90,total_shots_per90,total_xg_per90,touches_in_box_per90,aerial_duels_won_per90,team_name,primary_position,competition,season
Alessandro Gamberini,657.0,527.0,0.802130898021309,18.0,8.0,8.0,8.0,1.0,151.1487251803741,2.63926390657368,19.406105222002243,7.235249377486978,28.26244131455399,75.0,14179.675104548007,7300.3,0.5148425437236211,15.0,4.0,0.277560567,0.06939014175,32.0,76.0,78.37546882768416,1868,31.654175588865094,25.39079229122056,0.867237687366167,0.3854389721627409,0.3854389721627409,0.3854389721627409,7.282326159653999,0.12715939592699743,0.934983656306318,0.3485933854249615,3.613490364025696,683.1749247373236,351.72751605995717,0.7226980728051392,0.19271948608137046,0.013372832457173446,1.5417558886509637,3.6616702355460387,Chievo,Right Center Back,Serie A,2015/2016
Alessandro Gazzi,608.0,512.0,0.8421052631578947,39.0,26.0,20.0,20.0,1.0,147.39657609914676,5.913212431415779,20.930011419391082,23.242486106126602,40.197272727272725,89.0,12746.972531179717,4594.2,0.3604149917764679,25.0,2.0,0.14692644,0.07346322,10.0,67.0,67.91354455789521,1025,53.385365853658534,44.95609756097561,3.424390243902439,2.282926829268293,1.7560975609756098,1.7560975609756098,12.942138389193373,0.5192088964169952,1.837757100239217,2.040803658098921,7.814634146341463,1119.2463685913897,403.3931707317073,2.1951219512195124,0.17560975609756097,0.012900858146341463,0.8780487804878049,5.882926829268293,Torino,Center Defensive Midfield,Serie A,2015/2016
Alessandro Longhi,179.0,130.0,0.7262569832402235,12.0,5.0,5.0,5.0,1.0,30.240308666333345,3.0747605748230233,6.011861804413687,4.622621669156158,31.604,9.0,3406.735322657216,2008.3,0.589508667328329,7.0,1.0,0.016861618,0.016861618,5.0,7.0,69.76590968400536,321,50.18691588785046,36.44859813084112,3.364485981308411,1.4018691588785046,1.4018691588785046,1.4018691588785046,8.478591214859817,0.8620824041559878,1.6855687302094449,1.2960621502306984,2.5233644859813085,955.1594362590325,563.0747663551401,1.9626168224299065,0.2803738317757009,0.004727556448598131,1.4018691588785046,1.9626168224299065,Sassuolo,Left Back,Serie A,2015/2016
Alessandro Matri,185.0,109.0,0.5891891891891892,15.0,8.0,64.0,63.0,0.984375,87.1925950063677,52.19139188956937,22.525520666699236,18.49328030798004,69.55208333333333,10.0,2887.2162492992875,1220.5,0.42272552334665237,9.0,12.0,2.1338127890000003,0.17781773241666668,157.0,14.0,40.27090839734698,873,19.072164948453608,11.237113402061855,1.5463917525773196,0.8247422680412372,6.5979381443298974,6.494845360824741,8.988927320244093,5.380555864904059,2.322218625432911,1.9065237430907258,1.0309278350515463,297.651159721576,125.82474226804123,0.9278350515463918,1.2371134020618557,0.21998069989690722,16.185567010309278,1.4432989690721647,Lazio,Center Forward,Serie A,2015/2016
Alessio Cerci,463.0,299.0,0.6457883369330454,18.0,139.0,77.0,72.0,0.935064935064935,245.91191261693243,101.28822320315446,66.48078067015948,38.57223267640157,65.944,35.0,8453.773755641882,2129.5,0.25189933650386775,134.0,39.0,4.4486840626,0.11406882211794872,122.0,12.0,51.25513192313114,1346,30.958395245170877,19.9925705794948,1.2035661218424962,9.294205052005942,5.148588410104011,4.814264487369985,16.44284705462401,6.772615221607653,4.445223076013635,2.579124027396836,2.3402674591381873,565.2597607784319,142.38855869242198,8.959881129271917,2.6077265973254087,0.29746030136255575,8.157503714710252,0.8023774145616641,AC Milan,Right Wing,Serie A,2015/2016
Alessio Romagnoli,1583.0,1373.0,0.8673404927353127,79.0,116.0,23.0,23.0,1.0,396.9040263023428,18.281085504483215,63.12069887979142,16.36374187080517,34.614723926380364,221.0,35163.91495722341,17972.6,0.5111091874116834,117.0,6.0,0.321310017,0.0535516695,55.0,132.0,80.18709035066257,3124,45.60499359795134,39.5550576184379,2.2759282970550574,3.3418693982074266,0.6626120358514725,0.6626120358514725,11.434494995906164,0.5266637949434985,1.8184580343089716,0.47142662239835637,6.366837387964148,1013.0449251440803,517.7765685019206,3.3706786171574907,0.17285531370038412,0.009256690630601793,1.5845070422535212,3.8028169014084505,AC Milan,Left Center Back,Serie A,2015/2016
Alex Ferrari,674.0,530.0,0.7863501483679525,59.0,61.0,32.0,30.0,0.9375,236.58162524962248,37.403680505835624,53.21675459860059,27.982048558949092,32.752760736196315,44.0,12441.767295391324,6115.5,0.4915298490002543,59.0,8.0,0.689982321,0.086247790125,23.0,33.0,65.37520524854462,1322,45.88502269288956,36.081694402420574,4.016641452344932,4.1527987897125564,2.178517397881997,2.042360060514372,16.106162082046918,2.546392772711956,3.6229258047458797,1.9049806129390456,2.995461422087746,847.0189535440387,416.33509833585475,4.016641452344932,0.5446293494704992,0.0469730778290469,1.5658093797276853,2.2465960665658096,Bologna,Right Back,Serie A,2015/2016
Alex Nicolao Telles,1174.0,889.0,0.7572402044293015,83.0,96.0,48.0,47.0,0.9791666666666666,284.3656012733739,51.36508285321648,65.55723263807334,51.111385733206625,32.38104575163399,85.0,23199.10104592092,11952.0,0.5151923764779459,91.0,13.0,0.35262336,0.027124873846153846,20.0,31.0,65.46008157006251,1621,65.18198642813078,49.35842072794571,4.608266502159161,5.330043183220234,2.665021591610117,2.609500308451573,15.788343068848643,2.8518553095555106,3.63982167638902,2.8377697199189367,4.7193090684762495,1288.0438581942522,663.5903763109192,5.052436767427514,0.7217766810610734,0.019578101418877236,1.1104256631708822,1.7211597779148673,Inter Milan,Left Back,Serie A,2015/2016
Alex Rodrigo Dias da Costa,943.0,830.0,0.88016967126193,34.0,61.0,12.0,12.0,1.0,286.74095307259995,11.633618846851403,34.06365852683291,26.89860693152511,32.21831501831502,132.0,20259.112679470123,8808.4,0.4347870580198769,58.0,23.0,1.795519042,0.07806604530434783,79.0,123.0,77.11836052914944,2174,39.03863845446182,34.360625574977,1.40754369825207,2.525298988040478,0.49678012879484823,0.49678012879484823,11.87060063318031,0.48161255575741785,1.4101790558486487,1.1135577846537534,5.46458141674333,838.6937171813757,364.65317387304503,2.401103955841766,0.952161913523459,0.07433151507819687,3.270469181232751,5.091996320147194,AC Milan,Right Center Back,Serie A,2015/2016
Alex Sandro Lobo Silva,1048.0,846.0,0.8072519083969466,54.0,122.0,60.0,59.0,0.9833333333333333,324.37362773478463,74.25317200209513,90.97820493846393,79.13868166265759,37.4735294117647,96.0,19445.847019965964,6527.5,0.33567578688127647,125.0,18.0,0.951002977,0.052833498722222226,98.0,53.0,59.455385952018105,1569,60.11472275334608,48.527724665391965,3.0975143403441683,6.998087954110899,3.4416826003824093,3.384321223709369,18.606517843295485,4.259264168380218,5.218635082512272,4.539503728259517,5.506692160611855,1115.440555638583,374.4263862332696,7.170172084130019,1.0325047801147227,0.05455083998087955,5.621414913957935,3.0401529636711278,Juventus,Left Wing Back,Serie A,2015/2016
